[  285535ms] [INFO] [Status] محطة وقود غير مسماة - node/12492729341 | activeDevices: 0 | final status: طابور خفيف @ http://localhost:5173/app.js:340
[  285535ms] [INFO] [Status] محطة وقود | activeDevices: 0 | final status: طابور خفيف @ http://localhost:5173/app.js:340
[  285535ms] [INFO] [Status] محطة وقود | activeDevices: 0 | final status: طابور خفيف @ http://localhost:5173/app.js:340
[  285535ms] [INFO] [Status] غاز بنبلي | activeDevices: 0 | final status: طابور خفيف @ http://localhost:5173/app.js:340
[  285535ms] [INFO] [Status] محطة وقود البوعيشي | activeDevices: 0 | final status: طابور خفيف @ http://localhost:5173/app.js:340
[  285536ms] [INFO] [Status] محطة وقود اسبان | activeDevices: 0 | final status: طابور خفيف @ http://localhost:5173/app.js:340
[  285536ms] [INFO] [Status] محطة وقود اسبان | activeDevices: 0 | final status: طابور خفيف @ http://localhost:5173/app.js:340
[  285536ms] [INFO] [Status] محطة وقود أحمد محمود | activeDevices: 0 | final status: طابور خفيف @ http://localhost:5173/app.js:340
[  285536ms] [INFO] [Status] محطة وقود المشري | activeDevices: 0 | final status: طابور خفيف @ http://localhost:5173/app.js:340
[  285536ms] [INFO] [Status] محطة وقود تاجواء الوسط | activeDevices: 0 | final status: طابور خفيف @ http://localhost:5173/app.js:340
[  285536ms] [INFO] [Status] محطة وقود | activeDevices: 0 | final status: طابور خفيف @ http://localhost:5173/app.js:340
[  285536ms] [INFO] [Status] محطة وقود | activeDevices: 0 | final status: طابور خفيف @ http://localhost:5173/app.js:340
[  285536ms] [INFO] [Status] محطة وقود الشعافي | activeDevices: 0 | final status: طابور خفيف @ http://localhost:5173/app.js:340
[  285536ms] [INFO] [Status] محطة وقود السويحلي | activeDevices: 0 | final status: مسكر @ http://localhost:5173/app.js:340
[  285536ms] [INFO] [Status] محطة وقود | activeDevices: 0 | final status: طابور خفيف @ http://localhost:5173/app.js:340
[  285536ms] [INFO] [Status] محطة وقود | activeDevices: 0 | final status: طابور خفيف @ http://localhost:5173/app.js:340
[  285536ms] [INFO] [Status] محطة وقود | activeDevices: 0 | final status: طابور خفيف @ http://localhost:5173/app.js:340
[  285536ms] [INFO] [Status] محطة وقود غوط الشعال | activeDevices: 0 | final status: طابور خفيف @ http://localhost:5173/app.js:340
[  285536ms] [INFO] [Status] محطة وقود | activeDevices: 0 | final status: طابور خفيف @ http://localhost:5173/app.js:340
[  285536ms] [INFO] [Status] محطة ابو نواس | activeDevices: 0 | final status: طابور خفيف @ http://localhost:5173/app.js:340
[  285536ms] [INFO] [Status] محطة وقود بير | activeDevices: 0 | final status: طابور خفيف @ http://localhost:5173/app.js:340
[  285536ms] [INFO] [Status] محطة وقود ابونواس | activeDevices: 0 | final status: طابور خفيف @ http://localhost:5173/app.js:340
[  285536ms] [INFO] [Status] محطة وقود القاضي | activeDevices: 0 | final status: طابور خفيف @ http://localhost:5173/app.js:340
[  285536ms] [INFO] [Status] محطة وقود | activeDevices: 0 | final status: طابور خفيف @ http://localhost:5173/app.js:340
[  285536ms] [INFO] [Status] محطة وقود | activeDevices: 0 | final status: طابور خفيف @ http://localhost:5173/app.js:340
[  285536ms] [INFO] [Status] محطة وقود غير مسماة - way/569303812 | activeDevices: 0 | final status: طابور خفيف @ http://localhost:5173/app.js:340
[  285536ms] [INFO] [Status] Oilibya | activeDevices: 0 | final status: طابور خفيف @ http://localhost:5173/app.js:340
[  285536ms] [INFO] [Status] محطة وقود الضواحي ⛽ | activeDevices: 0 | final status: طابور خفيف @ http://localhost:5173/app.js:340
[  285536ms] [INFO] [Status] محطة وقود | activeDevices: 0 | final status: طابور خفيف @ http://localhost:5173/app.js:340
[  285536ms] [INFO] [Status] محطة وقود / شيل الرقبة | activeDevices: 0 | final status: طابور خفيف @ http://localhost:5173/app.js:340
[  285536ms] [INFO] [Status] محطة وقود | activeDevices: 0 | final status: طابور خفيف @ http://localhost:5173/app.js:340
[  285536ms] [INFO] [Status] موزع غاز حكومي | activeDevices: 0 | final status: طابور خفيف @ http://localhost:5173/app.js:340
[  285536ms] [INFO] [Status] محطة وقود | activeDevices: 0 | final status: طابور خفيف @ http://localhost:5173/app.js:340
[  285536ms] [INFO] [Status] محطة وقود بن غرسة | activeDevices: 0 | final status: طابور خفيف @ http://localhost:5173/app.js:340
[  285536ms] [INFO] [Status] محطة وقود | activeDevices: 0 | final status: طابور خفيف @ http://localhost:5173/app.js:340
[  285536ms] [INFO] [Status] تحت الانشاء | activeDevices: 0 | final status: طابور خفيف @ http://localhost:5173/app.js:340
[  285536ms] [INFO] [Status] محطة وقود | activeDevices: 0 | final status: طابور خفيف @ http://localhost:5173/app.js:340
[  285536ms] [INFO] [Status] محطة وقود السلامة | activeDevices: 0 | final status: طابور خفيف @ http://localhost:5173/app.js:340
[  285536ms] [INFO] [Status] محطة وقود | activeDevices: 0 | final status: طابور خفيف @ http://localhost:5173/app.js:340
[  285536ms] [INFO] [Status] محطة وقود | activeDevices: 0 | final status: طابور خفيف @ http://localhost:5173/app.js:340
[  285536ms] [INFO] [Status] محطة وقود غير مسماة - way/569420777 | activeDevices: 0 | final status: طابور خفيف @ http://localhost:5173/app.js:340
[  285536ms] [INFO] [Status] محطة وقود الحبايبية | activeDevices: 0 | final status: عالبومبة طول @ http://localhost:5173/app.js:340
[  285536ms] [INFO] [Status] محطة وقود الرحمة | activeDevices: 0 | final status: طابور خفيف @ http://localhost:5173/app.js:340
[  285536ms] [INFO] [Status] محطة وقود | activeDevices: 0 | final status: طابور خفيف @ http://localhost:5173/app.js:340
[  285536ms] [INFO] [Status] محطة وقود السراج | activeDevices: 0 | final status: طابور خفيف @ http://localhost:5173/app.js:340
[  285536ms] [INFO] [Status] محطة وقود | activeDevices: 0 | final status: طابور خفيف @ http://localhost:5173/app.js:340
[  285536ms] [INFO] [Status] محطه شركة السلام - ليبيا نفط | activeDevices: 0 | final status: طابور خفيف @ http://localhost:5173/app.js:340
[  285536ms] [INFO] [Status] محطة وقود | activeDevices: 0 | final status: طابور خفيف @ http://localhost:5173/app.js:340
[  285536ms] [INFO] [Status] محطة وقود فتروش | activeDevices: 0 | final status: طابور خفيف @ http://localhost:5173/app.js:340
[  285536ms] [INFO] [Status] محطة وقود غير مسماة - way/875267927 | activeDevices: 0 | final status: طابور خفيف @ http://localhost:5173/app.js:340
[  285536ms] [INFO] [Status] محطة وقود بير العالم | activeDevices: 0 | final status: طابور خفيف @ http://localhost:5173/app.js:340
[  285536ms] [INFO] [Status] محطة وقود كرواط | activeDevices: 0 | final status: طابور خفيف @ http://localhost:5173/app.js:340
[  285536ms] [INFO] [Status] محطة وقود | activeDevices: 0 | final status: طابور خفيف @ http://localhost:5173/app.js:340
[  285536ms] [INFO] [Status] محطة وقود | activeDevices: 0 | final status: طابور خفيف @ http://localhost:5173/app.js:340
[  285536ms] [INFO] [Status] محطة وقود بير العالم | activeDevices: 0 | final status: طابور خفيف @ http://localhost:5173/app.js:340
[  285536ms] [INFO] [Status] محطة وقود المقرحي | activeDevices: 0 | final status: طابور خفيف @ http://localhost:5173/app.js:340
